Country Code,Name,Location,Latitude,Longitude,System ID,URL,Auto-Discovery URL
DE,Berlin-Buch Campus,"Berlin-Buch, DE",52.641401,13.496539,nextbike_cb,https://www.nextbike.de/de/berlin-buch/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_cb/gbfs.json
DE,Bonn nextbike,"Bonn, DE",50.73743,7.0982068,nextbike_bf,https://www.nextbike.de/de/bonn/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bf/gbfs.json
DE,Donkey Republic Berlin,"Berlin, DE",52.5200066,13.404954,donkey_berlin,https://www.donkey.bike/cities/bike-rental-berlin/,https://stables.donkey.bike/api/public/gbfs/2/donkey_berlin/gbfs.json
DE,Donkey Republic Freiburg,"Freiburg, DE",47.9990077,7.8421043,donkey_freiburg,https://www.donkey.bike/cities/bike-rental-freiburg/,https://stables.donkey.bike/api/public/gbfs/2/donkey_freiburg/gbfs.json
DE,Donkey Republic Munich,"Munich, DE",48.1351253,11.5819806,donkey_munich,https://www.donkey.bike/cities/bike-rental-munich/,https://stables.donkey.bike/api/public/gbfs/2/donkey_munich/gbfs.json
DE,Eifel e-Bike,"Eifel e-Bike, DE",50.2020431,6.4101953,nextbike_eb,https://www.nextbike.de/de/eifel-ebike/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_eb/gbfs.json
DE,Frelo Freiburg,"Freiburg, DE",47.9990077,7.8421043,nextbike_df,https://www.frelo-freiburg.de/de/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_df/gbfs.json
DE,Graben - ready4green,"Graben, DE",48.1888315,10.8223549,nextbike_da,https://www.nextbike.de/de/ready4green/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_da/gbfs.json
DE,KVB Rad Germany,"Köln, DE",50.937531,6.9602786,nextbike_kg,https://www.kvb-rad.de/de/koeln/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_kg/gbfs.json
DE,KVV.nextbike,DE,,,nextbike_fg,https://www.kvv-nextbike.de/de/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_fg/gbfs.json
DE,Lime Hamburg,"Hamburg, DE",53.5510846,9.9936818,lime_hamburg,https://li.me,https://data.lime.bike/api/partners/v2/gbfs/hamburg/gbfs.json
DE,meinSiggi,"Bielefeld, DE",52.0302285,8.5324708,nextbike_dg,https://www.nextbike.de/de/bielefeld/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_dg/gbfs.json
DE,metropolradruhr Bochum,"Bochum, DE",51.4818445,7.2162363,nextbike_ms,https://www.metropolradruhr.de/de/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ms/gbfs.json
DE,metropolradruhr Germany,DE,,,nextbike_mr,https://www.metropolradruhr.de/de/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_mr/gbfs.json
DE,MOBIbike,"Dresden, DE",51.0504088,13.7372621,nextbike_dx,https://www.nextbike.de/de/dresden/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_dx/gbfs.json
DE,NEW MöBus nextbike,"Mönchengladbach, DE",51.1941686,6.4315392,nextbike_sn,https://www.nextbike.de/de/moenchengladbach/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_sn/gbfs.json
DE,nextbike Berlin,"Berlin, DE",52.5200066,13.404954,nextbike_bn,https://www.nextbike.de/de/berlin/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bn/gbfs.json
DE,nextbike Düsseldorf,"Düsseldorf, DE",51.2277411,6.7734556,nextbike_dd,https://www.nextbike.de/de/duesseldorf/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_dd/gbfs.json
DE,nextbike Erfurt,"Erfurt, DE",50.9847679,11.0298799,nextbike_ef,https://www.nextbike.de/de/erfurt/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ef/gbfs.json
DE,nextbike Frankfurt,"Frankfurt, DE",50.1109221,8.6821267,nextbike_ff,https://www.nextbike.de/de/frankfurt/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ff/gbfs.json
DE,nextbike Gießen,"Gießen, DE",50.5840512,8.6784031,nextbike_ng,https://www.nextbike.de/de/giessen/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ng/gbfs.json
DE,nextbike Gütersloh,"Gütersloh, DE",51.9032375,8.3857535,nextbike_dj,https://www.nextbike.de/de/guetersloh/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_dj/gbfs.json
